FinCEN: Core Based Statistical Area (CBSA) Subjects Reported in Recent* MLF SARs (Subjects Per Million Population),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,MSA FIPS,2006 Q1 ,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,Header
"Grand Rapids-Wyoming, MI",24340,36.5,43.0,46.7,53.2,74.0,58.4,82.6,77.4,99.4,63.2,32.2,67.0,92.7,86.3,54.0,69.4,16.7,33.4,37.3,21.9,20.6,12.9,23.1,12.9,14.2,22.0,Data
"Columbia, SC",17900,46.2,34.7,48.2,56.7,38.3,34.0,58.4,50.0,47.2,44.5,32.8,71.0,68.3,41.0,41.6,40.3,13.4,34.9,17.5,18.8,18.8,9.4,13.4,21.5,10.4,19.5,Data
"Greensboro-High Point, NC",24660,29.7,26.7,8.8,26.3,19.0,39.4,30.2,31.6,31.6,35.9,18.4,46.7,31.1,33.9,19.6,42.0,11.2,12.6,21.0,19.6,26.6,11.2,8.4,12.6,16.6,16.6,Data
"Akron, OH",10420,25.7,38.5,52.9,54.3,54.3,41.4,60.0,61.4,47.1,38.5,38.6,25.7,38.6,42.9,37.1,35.7,11.4,12.9,5.7,1.4,11.4,4.3,5.7,7.1,7.1,7.1,Data
"Bradenton-Sarasota-Venice, FL",14600,35.9,46.4,38.4,67.9,56.1,107.8,98.1,121.5,169.9,143.5,157.5,167.7,224.5,207.0,152.6,203.5,14.5,24.7,42.1,48.0,55.2,33.4,29.1,36.3,28.5,42.7,Data
"Little Rock-North Little Rock-Conway, AR",30780,21.7,6.2,10.6,13.7,15.2,38.0,30.0,21.0,54.0,25.5,34.0,32.5,41.4,32.5,48.1,39.4,10.2,13.1,10.2,8.8,16.0,5.8,7.3,1.5,12.9,8.6,Data
"Knoxville, TN",28940,13.7,21.3,26.8,59.6,49.2,44.7,38.1,44.0,39.6,58.6,27.4,30.3,52.0,46.2,60.1,21.5,7.2,10.0,12.9,12.9,20.0,1.4,8.6,4.3,8.6,4.3,Data
"Springfield, MA",44140,10.1,4.3,15.9,10.1,5.8,17.3,17.3,18.7,30.2,31.7,21.5,18.7,14.3,27.3,17.2,18.6,7.2,14.3,15.7,4.3,10.0,10.0,2.9,4.3,4.3,4.3,Data
"Stockton, CA",44700,76.4,123.8,103.0,127.3,142.4,183.4,213.5,233.0,269.1,351.7,269.2,236.3,213.8,206.4,164.5,197.1,25.2,54.8,59.3,51.9,34.1,45.9,54.8,22.2,42.3,61.3,Data
"Poughkeepsie-Newburgh-Middletown, NY",39100,9.1,18.1,21.1,9.0,24.1,22.6,19.5,26.9,26.9,43.4,41.7,35.7,72.9,80.4,32.5,51.7,14.8,11.8,4.4,28.1,11.8,28.1,34.0,23.6,35.8,31.3,Data
"Charleston-North Charleston-Summerville, SC",16700,13.3,18.3,55.1,13.0,27.5,45.3,60.1,41.1,41.1,66.5,47.9,64.9,43.3,47.9,42.5,36.4,24.3,15.2,19.7,13.7,25.8,10.6,16.7,25.8,19.6,12.0,Data
"Syracuse, NY",45060,6.2,9.3,1.6,7.8,0.0,10.9,10.9,7.8,17.1,12.4,4.7,27.9,40.3,48.1,44.9,15.5,3.1,17.0,6.2,15.5,4.6,0.0,6.2,0.0,4.5,4.5,Data
"Toledo, OH",45780,11.9,10.4,10.4,28.2,20.8,29.7,20.7,22.2,26.7,17.8,22.3,22.3,28.2,16.3,31.2,28.3,7.4,1.5,8.9,7.4,6.0,6.0,6.0,8.9,6.1,9.2,Data
"Colorado Springs, CO",17820,30.6,35.7,28.3,48.2,61.5,76.5,62.6,60.9,79.0,60.9,79.4,63.2,90.8,50.2,95.8,62.3,19.2,8.0,4.8,24.0,16.0,6.4,20.8,9.6,7.7,26.3,Data
